Name,Destination,State,Type,Rating,Popularity,Cost,Duration,Interest,Description
Eravikulam National Park,Munnar,Kerala,Wildlife,4.7,95,200,4,Nature|Wildlife|Photography,Famous national park with scenic hills and wildlife
Mattupetty Dam,Munnar,Kerala,Nature,4.5,90,100,2,Nature|Photography|Relaxation,Beautiful dam surrounded by mountains
Tea Museum,Munnar,Kerala,Culture,4.4,82,150,2,Culture|History|Photography,Learn about tea production and history
Top Station,Munnar,Kerala,Viewpoint,4.6,88,50,3,Nature|Photography|Adventure,Mountain viewpoint with panoramic valley views
Alleppey Backwaters,Alleppey,Kerala,Backwater,4.8,98,500,5,Nature|Relaxation|Photography,Famous Kerala backwaters and houseboat experiences
Alleppey Beach,Alleppey,Kerala,Beach,4.3,85,0,2,Beach|Relaxation|Photography,Popular beach for sunset and relaxation
Kochi Fort Kochi,Kochi,Kerala,Heritage,4.5,92,0,3,Culture|History|Photography,Historic coastal area with colonial architecture
Mattancherry Palace,Kochi,Kerala,History,4.4,80,20,2,History|Culture,Historic palace and museum
Marine Drive,Kochi,Kerala,Waterfront,4.3,88,0,2,Relaxation|Photography|Food,Popular waterfront promenade
Varkala Beach,Varkala,Kerala,Beach,4.7,94,0,4,Beach|Relaxation|Photography,Famous cliffside beach with scenic views
Jatayu Earths Center,Kollam,Kerala,Adventure,4.5,90,500,4,Adventure|Nature|Photography,Large tourism center featuring the Jatayu sculpture
Wayanad Wildlife Sanctuary,Wayanad,Kerala,Wildlife,4.5,91,200,5,Wildlife|Nature|Adventure,Forest sanctuary with diverse wildlife
Banasura Sagar Dam,Wayanad,Kerala,Nature,4.5,86,40,3,Nature|Adventure|Photography,Scenic reservoir surrounded by hills
Mysore Palace,Mysore,Karnataka,Heritage,4.8,98,100,3,History|Culture|Photography,Famous royal palace with grand architecture
Ooty Botanical Garden,Ooty,Tamil Nadu,Garden,4.5,93,50,3,Nature|Relaxation|Photography,Famous botanical garden with diverse plants
Kodaikanal Lake,Kodaikanal,Tamil Nadu,Lake,4.6,94,0,3,Nature|Relaxation|Photography,Scenic lake surrounded by hills
Goa Beaches,Goa,Goa,Beach,4.7,98,0,5,Beach|Relaxation|Adventure|Photography,Popular beaches and coastal experiences
Jaipur City Palace,Jaipur,Rajasthan,Heritage,4.6,94,200,4,History|Culture|Photography,Historic royal palace complex
