Name,State,Destination,Type,Rating,Popularity,Cost,Duration,Interest,Description
Eravikulam National Park,Kerala,Munnar,Wildlife,4.7,95,200,4,Nature|Wildlife|Photography,Famous national park with scenic hills and Nilgiri tahr
Mattupetty Dam,Kerala,Munnar,Nature,4.5,90,100,2,Nature|Photography|Relaxation,Beautiful dam surrounded by mountains and greenery
Tea Museum,Kerala,Munnar,Culture,4.4,82,150,2,Culture|History|Photography,Learn about Munnar tea production and history
Top Station,Kerala,Munnar,Viewpoint,4.6,88,50,3,Nature|Photography|Adventure,Mountain viewpoint with panoramic valley views
Athirappilly Waterfalls,Kerala,Thrissur,Waterfall,4.7,96,40,3,Nature|Adventure|Photography,Large scenic waterfall surrounded by forest
Alleppey Backwaters,Kerala,Alappuzha,Backwater,4.8,98,500,5,Nature|Relaxation|Photography,Famous Kerala backwaters and houseboat experiences
Alleppey Beach,Kerala,Alappuzha,Beach,4.3,85,0,2,Beach|Relaxation|Photography,Popular beach for sunset and relaxation
Kochi Fort Kochi,Kerala,Kochi,Heritage,4.5,92,0,3,Culture|History|Photography,Historic coastal area with colonial architecture
Mattancherry Palace,Kerala,Kochi,History,4.4,80,20,2,History|Culture,Historic palace and museum
Marine Drive,Kerala,Kochi,Waterfront,4.3,88,0,2,Relaxation|Photography|Food,Popular waterfront promenade in Kochi
Varkala Beach,Kerala,Varkala,Beach,4.7,94,0,4,Beach|Relaxation|Photography,Famous cliffside beach with scenic views
Jatayu Earths Center,Kerala,Kollam,Adventure,4.5,90,500,4,Adventure|Nature|Photography,Large tourism center featuring the Jatayu sculpture
Kovalam Beach,Kerala,Thiruvananthapuram,Beach,4.6,93,0,3,Beach|Relaxation|Photography,Popular beach destination near Thiruvananthapuram
Sree Padmanabhaswamy Temple,Kerala,Thiruvananthapuram,Temple,4.8,97,0,2,Spiritual|History|Culture,Historic temple known for its architecture
Wayanad Wildlife Sanctuary,Kerala,Wayanad,Wildlife,4.5,91,200,5,Wildlife|Nature|Adventure,Forest sanctuary with diverse wildlife
Banasura Sagar Dam,Kerala,Wayanad,Nature,4.5,86,40,3,Nature|Adventure|Photography,Scenic reservoir surrounded by hills
Mysore Palace,Karnataka,Mysore,Heritage,4.8,98,100,3,History|Culture|Photography,Famous royal palace with grand architecture
Coorg Abbey Falls,Karnataka,Coorg,Waterfall,4.4,84,30,2,Nature|Adventure|Photography,Scenic waterfall surrounded by greenery
Hampi Monuments,Karnataka,Hampi,Heritage,4.8,97,40,5,History|Culture|Photography,Historic ruins and monuments of the Vijayanagara Empire
Ooty Botanical Garden,Tamil Nadu,Ooty,Garden,4.5,93,50,3,Nature|Relaxation|Photography,Famous botanical garden with diverse plants
Kodaikanal Lake,Tamil Nadu,Kodaikanal,Lake,4.6,94,0,3,Nature|Relaxation|Photography,Scenic lake surrounded by hills
Meenakshi Amman Temple,Tamil Nadu,Madurai,Temple,4.8,98,0,3,Spiritual|History|Culture|Photography,Famous historic temple with detailed architecture
Marina Beach,Tamil Nadu,Chennai,Beach,4.4,96,0,3,Beach|Relaxation|Food|Photography,One of India's famous urban beaches
Mahabalipuram Shore Temple,Tamil Nadu,Mahabalipuram,Heritage,4.7,95,40,3,History|Culture|Photography,Historic UNESCO World Heritage monument
Goa Beaches,Goa,Goa,Beach,4.7,98,0,5,Beach|Relaxation|Adventure|Photography,Popular beaches and coastal experiences
Dudhsagar Falls,Goa,Goa,Waterfall,4.6,95,500,5,Nature|Adventure|Photography,Major waterfall surrounded by forest
Taj Mahal,Uttar Pradesh,Agra,Monument,4.9,100,50,4,History|Culture|Photography,World-famous monument and UNESCO World Heritage Site
Jaipur City Palace,Rajasthan,Jaipur,Heritage,4.6,94,200,4,History|Culture|Photography,Historic royal palace complex in Jaipur
Ranthambore National Park,Rajasthan,Ranthambore,Wildlife,4.6,96,1000,6,Wildlife|Adventure|Nature|Photography,Famous wildlife park known for tiger sightings
